Event ID,Origin Time,Magnitude,Latitude,Longitude,Depth
2018p702883,2018-09-18T01:36:22.453629Z,M4.63,-38.07966232,176.459198,149.35
2017p027063,2017-01-11T00:19:21.720918Z,M5.07,-41.67704838,174.2734433,12.27
2017p024647,2017-01-10T02:51:53.130519Z,M4.70,-38.40597153,175.9304199,168.17
2017p087060,2017-02-02T05:05:39.319521Z,M4.83,-37.77571106,177.546875,27.49
2017p084950,2017-02-01T10:21:29.759031Z,M5.09,-42.29034042,173.7621307,21.14
2017p099067,2017-02-06T15:43:05.064710Z,M4.64,-37.31082535,178.8622589,20.74
2017p093072,2017-02-04T10:29:10.718878Z,M4.65,-40.33699036,174.4940491,76.64
2017p059122,2017-01-22T21:00:16.519850Z,M5.12,-37.74497986,177.5435638,29.08
2017p003805,2017-01-02T09:47:19.421088Z,M4.61,-42.33817291,173.5579987,5.53
2017p060166,2017-01-23T06:16:39.128949Z,M4.57,-41.64801025,174.2867889,9.92
2017p014499,2017-01-06T08:45:17.826173Z,M4.77,-41.64638901,174.2911377,8.62
2017p012082,2017-01-05T11:17:34.879638Z,M5.41,-41.80748749,174.0366211,14.37
2017p015402,2017-01-06T16:46:12.154376Z,M4.84,-37.7519722,177.5345917,27.98
2017p887092,2017-11-25T05:24:05.749588Z,M4.54,-37.84857941,178.1473694,47.13
2018p012973,2018-01-05T19:12:08.638808Z,M4.51,-41.87590408,173.9917145,11.26
2017p916322,2017-12-06T00:56:45.304786Z,M4.87,-39.03478622,174.8453674,175.62
2018p179763,2018-03-08T12:17:46.275307Z,M4.67,-37.62010574,176.42659,278.88
2018p070552,2018-01-27T02:30:31.998106Z,M5.06,-40.34011459,173.9745789,123.55
2018p177486,2018-03-07T16:04:33.906061Z,M4.71,-42.35692596,173.4416962,8.98
2017p919876,2017-12-07T08:30:16.026184Z,M5.00,-41.41807556,173.4067535,74.48
2018p266243,2018-04-09T12:14:23.908405Z,M5.13,-37.15131378,178.9009399,12.00
2017p952681,2017-12-19T11:48:31.028088Z,M4.55,-42.46689987,173.6452179,2.60
2018p130600,2018-02-18T07:43:48.127644Z,M5.16,-39.94897461,176.2995148,20.59
2017p795065,2017-10-22T04:10:59.674111Z,M5.59,-42.35814285,173.4589386,8.27
2018p354699,2018-05-12T05:43:45.711461Z,M4.64,-42.28655243,173.8335266,10.42
2018p375525,2018-05-19T22:40:08.202537Z,M4.50,-39.55668259,174.36026,197.02
2018p465580,2018-06-22T06:21:00.801931Z,M4.90,-40.30649185,176.5974731,16.73
2018p460630,2018-06-20T10:23:51.723176Z,M4.65,-37.73103714,177.669281,3.59
2018p462723,2018-06-21T04:59:16.085700Z,M4.63,-38.96992874,175.9950562,85.47
2017p338727,2017-05-06T07:53:50.652000Z,M4.53,-41.41287994,173.8805389,39.45
2017p346659,2017-05-09T06:19:58.362606Z,M4.70,-37.78767014,177.5926819,31.02
2017p136022,2017-02-20T07:53:01.575065Z,M4.70,-37.29286194,179.0401764,5.00
2017p381325,2017-05-22T02:10:04.883509Z,M4.81,-42.20776749,173.6417236,5.41
2018p515959,2018-07-10T21:43:58.935275Z,M4.89,-39.36366272,175.4912109,74.57
2017p741873,2017-10-02T11:50:05.810101Z,M4.59,-37.15312958,176.7518158,312.00
2018p546311,2018-07-22T03:14:44.634911Z,M5.21,-41.2063942,173.5365601,72.54
2017p821508,2017-10-31T22:59:51.206888Z,M4.72,-37.44020462,177.3571167,7.64
2017p168407,2017-03-04T07:27:38.483931Z,M4.51,-41.82998276,174.1186371,9.09
2017p164065,2017-03-02T16:53:51.081374Z,M4.55,-39.37473227,177.3162197,29.84
2017p176921,2017-03-07T11:03:37.330134Z,M4.94,-37.12570572,179.0875244,12.00
2017p181223,2017-03-09T01:16:04.195595Z,M4.52,-37.32069778,177.7793884,28.31
2017p184544,2017-03-10T06:45:15.168382Z,M4.53,-42.45187378,173.5357056,34.02
2017p190343,2017-03-12T10:14:53.334508Z,M4.56,-40.27558899,176.3332367,32.10
2017p207675,2017-03-18T20:09:45.902922Z,M4.53,-40.37775803,176.2540283,28.95
2017p219803,2017-03-23T07:51:51.360580Z,M4.83,-40.99907303,174.9175873,54.31
2017p819775,2017-10-31T07:36:07.022652Z,M4.75,-37.46266174,177.3622894,11.63
2017p708412,2017-09-20T02:42:10.036814Z,M5.08,-41.47942352,174.3373108,15.12
2017p257850,2017-04-06T09:42:49.908987Z,M4.92,-41.68255615,174.2064667,8.77
2017p260291,2017-04-07T07:23:23.803522Z,M4.58,-41.98227692,173.8672028,10.07
2017p735876,2017-09-30T06:34:33.182658Z,M5.26,-37.07653046,179.0947571,12.00
2017p263661,2017-04-08T13:18:51.242844Z,M4.62,-39.13737106,174.9152832,205.32
2017p266099,2017-04-09T10:57:59.815172Z,M4.76,-41.61719894,175.2894897,14.25
2017p618484,2017-08-17T20:08:49.925585Z,M4.62,-38.31808853,176.1132355,133.44
2017p287111,2017-04-17T05:32:47.874257Z,M4.56,-39.86991882,176.9329071,24.52
2017p292246,2017-04-19T03:08:42.632596Z,M5.09,-38.51237185,177.6910721,38.05
2017p293719,2017-04-19T16:13:54.199887Z,M4.59,-41.62878036,173.1664124,5.00
2017p852531,2017-11-12T10:28:56.348882Z,M4.82,-41.17444289,174.4269955,35.70
2017p861155,2017-11-15T15:03:33.433026Z,M4.68,-41.56174088,174.3071899,10.97
